video_id,留言者,留言,留言時間,clean_content,label
4Nv6cjIsphU,張翔淯,這纔是一個好公司嘛????,22 小時前,這纔是一個好公司嘛,1.0
4Nv6cjIsphU,融樂,"不知道完全不知道小吳,可是看一半直接去訂閱了太大氣啦",21 小時前,不知道完全不知道小吳 可是看一半直接去訂閱了太大氣啦,1.0
4Nv6cjIsphU,忙什麼阿囧,WACKYBOYS 反骨男孩 真的很感謝培根，聽說他顧很久??,22 小時前,WACKYBOYS 反骨男孩 真的很感謝培根 聽說他顧很久,1.0
4Nv6cjIsphU,你好,8:08我笑噴 真的失能????,20 小時前,8 08我笑噴 真的失能,1.0
4Nv6cjIsphU,詹CHI,10:28 亞亞：我終於賺錢了    好嘴啊哈哈哈,18 小時前,10 28 亞亞 我終於賺錢了    好嘴啊哈哈哈,1.0
4Nv6cjIsphU,M uyun,反骨尾牙好熱鬧喔??,22 小時前,反骨尾牙好熱鬧喔,1.0
4Nv6cjIsphU,嗝嗝,8：40 加賴叫過去,14 小時前,8 40 加賴叫過去,0.5
4Nv6cjIsphU,RW Tv / 輪子亂滾,10:25 笑死不如來參加尾牙,21 小時前,10 25 笑死不如來參加尾牙,1.0
4Nv6cjIsphU,紐約鄰居,大潘抓到,20 小時前,大潘抓到,0.5
4Nv6cjIsphU,硬酒,那個失能畫面也太好笑XDDD,22 小時前,那個失能畫面也太好笑XDDD,1.0
4Nv6cjIsphU,咚銘,想看看在不瘋狂的尾牙：）,2 小時前,想看看在不瘋狂的尾牙,0.5
4Nv6cjIsphU,Kennan Ace,求化妝師ig,16 小時前,求化妝師ig,0.5
4Nv6cjIsphU,Ben Lee,凡凡瘦了,22 小時前,凡凡瘦了,0.5
4Nv6cjIsphU,Xuan Yu。,這集好嗨啊！,2 小時前,這集好嗨啊,1.0
4Nv6cjIsphU,阿西,小吳人太好了啦！！！新的一年也祝反骨一切順利！,22 小時前,小吳人太好了啦   新的一年也祝反骨一切順利,1.0
4Nv6cjIsphU,Panbosin,訂起來,11 小時前,訂起來,1.0
4Nv6cjIsphU,ream ID,甲魚有粉絲專頁還是ig嗎?,12 小時前,甲魚有粉絲專頁還是ig嗎,0.5
4Nv6cjIsphU,Aka Crazyfamily,8:07 笑死我啦????,20 小時前,8 07 笑死我啦,1.0
4Nv6cjIsphU,謝孟軒,瑀溪 ㄏㄏ,14 小時前,瑀溪,0.5
4Nv6cjIsphU,世界很奇妙,你還是自己拿好了XD,22 小時前,你還是自己拿好了XD,0.5
4Nv6cjIsphU,Dreaming Fish,大家真的都瘋了??????,20 小時前,大家真的都瘋了,0.5
4Nv6cjIsphU,比比,爛命一條,16 小時前,爛命一條,0.5
4Nv6cjIsphU,ㄏ博翔跟你說早安,林襄怎麼可以沒介紹,21 小時前,林襄怎麼可以沒介紹,0.5
4Nv6cjIsphU,Niu Nai,小地精怎麼好像很不開心XDDS,20 小時前,小地精怎麼好像很不開心XDDS,1.0
4Nv6cjIsphU,君君,WACKYBOYS 反骨男孩 我覺得你們這些工作人員都很厲害  反骨不是一人成就的  每個人都是配角也是主角  期待新作??,19 小時前,WACKYBOYS 反骨男孩 我覺得你們這些工作人員都很厲害  反骨不是一人成就的  每個人都是配角也是主角  期待新作,1.0
4Nv6cjIsphU,曾可可,11:18～11:24 瑋哥的手??,19 小時前,11 18 11 24 瑋哥的手,0.5
4Nv6cjIsphU,吉他之神汪東城,9:40 瑋哥：要多人的舉手全場：?笑死哈哈,23 小時前,9 40 瑋哥 要多人的舉手全場  笑死哈哈,1.0
4Nv6cjIsphU,Uhh Y,酷炫跟那個什麼希的不搭欸 那女生一看就 很有「歷練」,21 小時前,酷炫跟那個什麼希的不搭欸 那女生一看就 很有 歷練,0.5
4Nv6cjIsphU,blue blue,瘋掉了啦！！尾牙抽獎是最瘋狂的時候的啦！！一直都在尖叫????笑??????????????????????????????????,2 小時前,瘋掉了啦  尾牙抽獎是最瘋狂的時候的啦  一直都在尖叫  笑,1.0
4Nv6cjIsphU,LeWei樂威,我從孫生扮FBI 到現在!,13 小時前,我從孫生扮FBI 到現在,0.5
